invoice_date,vehicle_model,invoice_line
2017-05-30,BAJAJ AVENGER STREET 220,ENGINE OIL
2017-06-02,BAJAJ PULSAR NS 200,ENGINE OIL
2017-06-02,BAJAJ PULSAR NS 200,CHAIN LUBRICATION
2017-05-31,BAJAJ PLATINA,ENGINE OIL
2017-05-31,BAJAJ PLATINA,3M OIL
2017-05-31,BAJAJ PLATINA,CHAIN LUBRICATION
2017-05-31,BAJAJ V,GENERAL SERVICE
2017-05-31,BAJAJ V,ENGINE OIL
2017-05-31,BAJAJ V,ENGINE OIL
2017-05-31,BAJAJ PULSAR 150,ENGINE OIL
2017-05-31,BAJAJ PULSAR 150,3M OIL
2017-05-31,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-03,BAJAJ PULSAR 220,ENGINE OIL
2017-06-03,BAJAJ PULSAR 220,AIR FILTER
2017-06-05,BAJAJ PULSAR 150,GENERAL SERVICE
2017-06-01,BAJAJ PULSAR 180,3M OIL
2017-06-01,BAJAJ PULSAR 180,CHAIN LUBRICATION
2017-06-01,BAJAJ PULSAR 180,ENGINE OIL
2017-06-01,BAJAJ PULSAR 150,ENGINE OIL
2017-06-01,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-01,BAJAJ PULSAR 150,3M OIL
2017-06-01,BAJAJ PULSAR 150,3M OIL
2017-06-01,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-01,BAJAJ PULSAR 150,ENGINE OIL
2017-06-01,BAJAJ AVENGER STREET 220,ENGINE OIL
2017-06-01,BAJAJ AVENGER STREET 220,3M OIL
2017-06-01,BAJAJ AVENGER STREET 220,CHAIN LUBRICATION
2017-06-01,BAJAJ V,GENERAL SERVICE
2017-06-01,BAJAJ V,ENGINE OIL
2017-06-01,BAJAJ PULSAR 220,ENGINE OIL
2017-06-01,BAJAJ PULSAR 220,CHAIN LUBRICATION
2017-06-01,BAJAJ PULSAR 220,3M OIL
2017-06-01,BAJAJ PULSAR 220,GENERAL SERVICE
2017-06-01,BAJAJ AVENGER STREET,ENGINE OIL
2017-06-02,BAJAJ PULSAR 220,ENGINE OIL
2017-06-02,BAJAJ PLATINA,ENGINE OIL
2017-06-02,BAJAJ PLATINA,CHAIN LUBRICATION
2017-06-02,BAJAJ PLATINA,3M OIL
2017-06-02,BAJAJ AVENGER STREET 220,3M OIL
2017-06-02,BAJAJ AVENGER STREET 220,ENGINE OIL
2017-06-02,BAJAJ AVENGER STREET 220,CHAIN LUBRICATION
2017-06-02,BAJAJ PULSAR 150,3M OIL
2017-06-02,BAJAJ PULSAR 150,ENGINE OIL
2017-06-02,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-03,BAJAJ CT 100,3M OIL
2017-06-03,BAJAJ CT 100,ENGINE OIL
2017-06-03,BAJAJ CT 100,CHAIN LUBRICATION
2017-06-03,BAJAJ PULSAR 220,GENERAL SERVICE
2017-06-03,BAJAJ PULSAR 220,ENGINE OIL
2017-06-03,BAJAJ PULSAR 220,CHAIN LUBRICATION
2017-06-03,BAJAJ PULSAR 150,GENERAL SERVICE
2017-06-03,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-03,BAJAJ PULSAR 150,ENGINE OIL
2017-06-03,BAJAJ AVENGER STREET 220,3M OIL
2017-06-03,BAJAJ AVENGER STREET 220,ENGINE OIL
2017-06-03,BAJAJ AVENGER STREET 220,CHAIN LUBRICATION
2017-06-04,BAJAJ PULSAR 150,ENGINE OIL
2017-06-04,BAJAJ PULSAR 150,3M OIL
2017-06-04,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-08,BAJAJ AVENGER STREET 220,3M OIL
2017-06-08,BAJAJ AVENGER STREET 220,CHAIN LUBRICATION
2017-06-08,BAJAJ AVENGER STREET 220,ENGINE OIL
2017-06-04,BAJAJ DISCOVER,GENERAL SERVICE
2017-06-04,BAJAJ DISCOVER,CHAIN LUBRICATION
2017-06-04,BAJAJ DISCOVER,ENGINE OIL
2017-06-04,BAJAJ PULSAR LS135,3M OIL
2017-06-04,BAJAJ PULSAR LS135,ENGINE OIL
2017-06-04,BAJAJ PULSAR LS135,CHAIN LUBRICATION
2017-06-04,BAJAJ PULSAR 220,ENGINE OIL
2017-06-04,BAJAJ PULSAR 220,CHAIN LUBRICATION
2017-06-04,BAJAJ PULSAR 220,CHAIN LUBRICATION
2017-06-04,BAJAJ PULSAR 220,ENGINE OIL
2017-06-04,BAJAJ PULSAR 220,3M OIL
2017-06-05,BAJAJ PULSAR 150,ENGINE OIL
2017-06-05,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-10,BAJAJ AVENGER STREET 220,ENGINE OIL
2017-06-10,BAJAJ AVENGER STREET 220,AIR FILTER
2017-06-05,BAJAJ PULSAR 180,ENGINE OIL
2017-06-05,BAJAJ PULSAR 180,CHAIN LUBRICATION
2017-06-05,BAJAJ PULSAR 180,3M OIL
2017-06-05,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-05,BAJAJ PULSAR 150,ENGINE OIL
2017-06-06,BAJAJ PULSAR NS 200,ENGINE OIL
2017-06-06,BAJAJ PULSAR NS 200,3M OIL
2017-06-06,BAJAJ PULSAR NS 200,CHAIN LUBRICATION
2017-06-05,BAJAJ PULSAR 150,ENGINE OIL
2017-06-05,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-05,BAJAJ PULSAR NS 200,GENERAL SERVICE
2017-06-05,BAJAJ PULSAR NS 200,CHAIN LUBRICATION
2017-06-05,BAJAJ PULSAR NS 200,ENGINE OIL
2017-06-05,BAJAJ AVENGER STREET 220,3M OIL
2017-06-05,BAJAJ AVENGER STREET 220,CHAIN LUBRICATION
2017-06-05,BAJAJ AVENGER STREET 220,ENGINE OIL
2017-06-05,BAJAJ PULSAR 150,CHAIN LUBRICATION
2017-06-05,BAJAJ PULSAR 150,ENGINE OIL
2017-06-05,BAJAJ PULSAR 150,GENERAL SERVICE
2017-06-06,BAJAJ DISCOVER 125,3M OIL
2017-06-06,BAJAJ DISCOVER 125,CHAIN LUBRICATION
2017-06-06,BAJAJ DISCOVER 125,ENGINE OIL
