invoice_date,vehicle_model,invoice_line
2017-06-02,BAJAJ PULSAR NS 200,POLISH
2017-06-02,BAJAJ PULSAR NS 200,CONSUMABLES
2017-05-31,BAJAJ V,OIL FILTER
2017-06-03,BAJAJ PULSAR 220,DISC PAD
2017-06-03,BAJAJ PULSAR 220,CLUTCH ASSEMBLY
2017-06-03,BAJAJ PULSAR 220,SPARK PLUG
2017-06-03,BAJAJ PULSAR 220,CLUTCH CABLE
2017-06-03,BAJAJ PULSAR 220,DISC PAD
2017-06-01,BAJAJ PULSAR 180,BRAKE SHOE
2017-06-01,BAJAJ PULSAR 180,AIR FILTER CHECKUP
2017-06-01,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-01,BAJAJ PULSAR 220,AIR FILTER CHECKUP
2017-06-02,BAJAJ PULSAR 220,CLUTCH COVER GASKET
2017-06-02,BAJAJ PLATINA,OIL FILTER
2017-06-03,BAJAJ PULSAR 220,AIR FILTER CHECKUP
2017-06-03,BAJAJ PULSAR 220,DISC OIL
2017-06-03,BAJAJ PULSAR 150,DISC OIL
2017-06-03,BAJAJ AVENGER STREET 220,POLISH
2017-06-03,BAJAJ AVENGER STREET 220,DISC OIL
2017-06-03,BAJAJ AVENGER STREET 220,CONSUMABLES
2017-06-04,BAJAJ PULSAR 150,POLISH
2017-06-04,BAJAJ PULSAR 150,CONSUMABLES
2017-06-04,BAJAJ PULSAR 150,DISC OIL
2017-06-04,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-04,BAJAJ DISCOVER,OIL FILTER
2017-06-04,BAJAJ DISCOVER,AIR FILTER CHECKUP
2017-06-04,BAJAJ PULSAR LS135,DISC OIL
2017-06-04,BAJAJ PULSAR LS135,POLISH
2017-06-04,BAJAJ PULSAR LS135,CONSUMABLES
2017-06-04,BAJAJ PULSAR 220,WHEEL RUBBER
2017-06-04,BAJAJ PULSAR 220,AIR FILTER CHECKUP
2017-06-05,BAJAJ PULSAR 150,CLUTCH ASSEMBLY
2017-06-05,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-05,BAJAJ PULSAR 150,CLUTCH COVER GASKET
2017-06-10,BAJAJ AVENGER STREET 220,SPARK PLUG
2017-06-10,BAJAJ AVENGER STREET 220,DISC PAD
2017-06-10,BAJAJ AVENGER STREET 220,CLUTCH ASSEMBLY
2017-06-05,BAJAJ PULSAR 180,CONSUMABLES
2017-06-05,BAJAJ PULSAR 180,POLISH
2017-06-05,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-05,BAJAJ PULSAR 150,DISC OIL
2017-06-06,BAJAJ PULSAR NS 200,POLISH
2017-06-06,BAJAJ PULSAR NS 200,OIL FILTER
2017-06-06,BAJAJ PULSAR NS 200,CONSUMABLES
2017-06-05,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-05,BAJAJ PULSAR 150,CONSUMABLES
2017-06-05,BAJAJ PULSAR NS 200,DISC PAD
2017-06-05,BAJAJ PULSAR NS 200,DISC OIL
2017-06-05,BAJAJ PULSAR NS 200,OIL FILTER
2017-06-05,BAJAJ AVENGER STREET 220,DISC OIL
2017-06-05,BAJAJ AVENGER STREET 220,BRAKE SHOE
2017-06-05,BAJAJ AVENGER STREET 220,POLISH
2017-06-05,BAJAJ AVENGER STREET 220,CONSUMABLES
2017-06-05,BAJAJ PULSAR 150,WHEEL RUBBER
2017-06-05,BAJAJ PULSAR 150,DISC OIL
2017-06-05,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-05,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-06,BAJAJ DISCOVER 125,DISC OIL
2017-06-06,BAJAJ DISCOVER 125,CONSUMABLES
2017-06-06,BAJAJ DISCOVER 125,BRAKE SHOE
2017-06-06,BAJAJ DISCOVER 125,WHEEL RUBBER
2017-06-06,BAJAJ AVENGER STREET 220,DISC OIL
2017-06-06,BAJAJ AVENGER STREET 220,AIR FILTER CHECKUP
2017-06-06,BAJAJ AVENGER STREET 220,DISC PAD
2017-06-06,BAJAJ AVENGER STREET 220,CONSUMABLES
2017-06-06,BAJAJ PULSAR NS 200,DISC PAD
2017-06-06,BAJAJ PULSAR NS 200,OIL FILTER
2017-06-06,BAJAJ PULSAR NS 200,DISC OIL
2017-06-06,BAJAJ PULSAR NS 200,AIR FILTER CHECKUP
2017-06-06,BAJAJ PULSAR 150,DISC OIL
2017-06-06,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-06,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-06,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-06,BAJAJ AVENGER STREET 220,CONSUMABLES
2017-06-06,BAJAJ AVENGER STREET 220,POLISH
2017-06-06,BAJAJ AVENGER STREET 220,BRAKE SHOE
2017-06-06,BAJAJ DISCOVER 125,DISC OIL
2017-06-06,BAJAJ DISCOVER 125,AIR FILTER CHECKUP
2017-06-07,BAJAJ DISCOVER 125,POLISH
2017-06-07,BAJAJ DISCOVER 125,WHEEL RUBBER
2017-06-07,BAJAJ DISCOVER 125,DISC OIL
2017-06-07,BAJAJ DISCOVER 125,AIR FILTER CHECKUP
2017-06-07,BAJAJ DISCOVER 125,CONSUMABLES
2017-06-07,BAJAJ PLATINA,AIR FILTER CHECKUP
2017-06-07,BAJAJ PLATINA,POLISH
2017-06-07,BAJAJ V150,CONSUMABLES
2017-06-07,BAJAJ V150,POLISH
2017-06-07,BAJAJ AVENGER STREET 220,POLISH
2017-06-07,BAJAJ AVENGER STREET 220,CONSUMABLES
2017-06-07,BAJAJ PULSAR 150,WHEEL RUBBER
2017-06-07,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-07,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-07,BAJAJ PULSAR 220,SPARK PLUG
2017-06-07,BAJAJ PULSAR 220,TANK COVER
2017-06-08,BAJAJ V150,CONSUMABLES
2017-06-08,BAJAJ V150,POLISH
2017-06-08,BAJAJ V150,OIL FILTER
2017-06-08,BAJAJ AVENGER STREET 220,CLUTCH OVERHUAL
2017-06-08,BAJAJ AVENGER STREET 220,CLUTCH COVER GASKET
2017-06-08,BAJAJ AVENGER STREET 220,AIR FILTER CHECKUP
2017-06-09,BAJAJ AVENGER STREET 220,DISC OIL
2017-06-09,BAJAJ AVENGER STREET 220,POLISH
2017-06-09,BAJAJ AVENGER STREET 220,CONSUMABLES
2017-06-09,BAJAJ PULSAR 150,DISC OIL
2017-06-09,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-09,BAJAJ PULSAR 150,POLISH
2017-06-09,BAJAJ PULSAR 150,CONSUMABLES
2017-06-09,BAJAJ PULSAR 150,DISC OIL
2017-06-09,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-10,BAJAJ AVENGER STREET,POLISH
2017-06-10,BAJAJ AVENGER STREET,CONSUMABLES
2017-06-10,BAJAJ PULSAR 220,AIR FILTER CHECKUP
2017-06-10,BAJAJ PULSAR 220,DISC OIL
2017-06-10,BAJAJ PULSAR 150,CLUTCH ASSEMBLY
2017-06-10,BAJAJ PULSAR 150,DISC OIL
2017-06-10,BAJAJ PULSAR 150,SPARK PLUG
2017-06-10,BAJAJ PULSAR 150,CHAIN OVERHAUL
2017-06-10,BAJAJ PULSAR 150,CHAIN SPROCKET
2017-06-14,BAJAJ PLATINA,CONSUMABLES
2017-06-14,BAJAJ PLATINA,AIR FILTER CHECKUP
2017-06-14,BAJAJ PLATINA,BRAKE SHOE
2017-06-10,BAJAJ PLATINA,OIL FILTER
2017-06-10,BAJAJ PLATINA,CONSUMABLES
2017-06-10,BAJAJ AVENGER STREET,DISC OIL
2017-06-10,BAJAJ AVENGER STREET,CONSUMABLES
2017-06-10,BAJAJ AVENGER STREET,AIR FILTER CHECKUP
2017-06-10,BAJAJ PULSAR 150,DISC OIL
2017-06-10,BAJAJ PULSAR 150,CONSUMABLES
2017-06-10,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-13,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-13,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-11,BAJAJ AVENGER STREET 220,AIR FILTER CHECKUP
2017-06-11,BAJAJ AVENGER STREET 220,BRAKE SHOE
2017-06-10,BAJAJ PULSAR 150,DISC OIL
2017-06-10,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-10,BAJAJ PULSAR 150,DISC PAD
2017-06-10,BAJAJ PULSAR 150,WHEEL RUBBER
2017-06-10,BAJAJ PULSAR 150,WHEEL RUBBER
2017-06-10,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-10,BAJAJ PULSAR 150,CHAIN SPROCKET
2017-06-10,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-10,BAJAJ PULSAR 220,TANK COVER
2017-06-10,BAJAJ PULSAR 220,WHEEL RUBBER
2017-06-10,BAJAJ PULSAR 220,DISC PAD
2017-06-10,BAJAJ PULSAR 220,CHAIN SPROCKET
2017-06-10,BAJAJ PULSAR 220,CHAIN OVERHAUL
2017-06-10,BAJAJ PULSAR 220,SPARK PLUG
2017-06-10,BAJAJ PULSAR 220,AIR FILTER CHECKUP
2017-06-11,BAJAJ PULSAR 180,POLISH
2017-06-11,BAJAJ PULSAR 180,CONSUMABLES
2017-06-12,BAJAJ BOXER CT,SPARK PLUG
2017-06-12,BAJAJ BOXER CT,AIR FILTER CHECKUP
2017-06-12,BAJAJ PULSAR 180,POLISH
2017-06-12,BAJAJ PULSAR 180,DISC OIL
2017-06-12,BAJAJ PULSAR 180,CONSUMABLES
2017-06-12,BAJAJ PULSAR 180,CONSUMABLES
2017-06-12,BAJAJ PULSAR 180,POLISH
2017-06-12,BAJAJ PULSAR 150,CONSUMABLES
2017-06-12,BAJAJ PULSAR 150,POLISH
2017-06-12,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-12,BAJAJ PULSAR NS 200,DISC PAD
2017-06-12,BAJAJ PULSAR NS 200,AIR FILTER CHECKUP
2017-06-12,BAJAJ PULSAR NS 200,DISC OIL
2017-06-12,BAJAJ PULSAR NS 200,OIL FILTER
2017-06-12,BAJAJ PULSAR RS 200,DISC OIL
2017-06-12,BAJAJ PULSAR RS 200,CONSUMABLES
2017-06-13,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-13,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-13,BAJAJ PULSAR 150,TANK COVER
2017-06-13,BAJAJ PULSAR 150,DISC OIL
2017-06-13,BAJAJ PULSAR 150,DISC PAD
2017-06-13,BAJAJ PULSAR 150,WHEEL RUBBER
2017-06-13,BAJAJ CT 100,POLISH
2017-06-13,BAJAJ CT 100,CONSUMABLES
2017-06-13,BAJAJ PULSAR 180,WHEEL RUBBER
2017-06-13,BAJAJ PULSAR 180,AIR FILTER CHECKUP
2017-06-13,BAJAJ PULSAR 180,DISC PAD
2017-06-14,BAJAJ PULSAR 150,CONSUMABLES
2017-06-14,BAJAJ PULSAR 150,POLISH
2017-06-13,BAJAJ CT 100,BRAKE SHOE
2017-06-13,BAJAJ CT 100,CONSUMABLES
2017-06-13,BAJAJ AVENGER STREET 220,BRAKE SHOE
2017-06-13,BAJAJ V150,CONSUMABLES
2017-06-13,BAJAJ V150,POLISH
2017-06-14,BAJAJ PLATINA,WHEEL RUBBER
2017-06-14,BAJAJ AVENGER STREET 220,CONSUMABLES
2017-06-14,BAJAJ AVENGER STREET 220,DISC OIL
2017-06-14,BAJAJ AVENGER STREET 220,BRAKE SHOE
2017-06-14,BAJAJ AVENGER STREET 220,AIR FILTER CHECKUP
2017-06-14,BAJAJ AVENGER STREET 220,DISC PAD
2017-06-14,BAJAJ AVENGER STREET 220,POLISH
2017-06-14,BAJAJ AVENGER STREET,AIR FILTER CHECKUP
2017-06-14,BAJAJ AVENGER STREET 220,DISC PAD
2017-06-14,BAJAJ AVENGER STREET 220,BRAKE SHOE
2017-06-14,BAJAJ AVENGER STREET 220,DISC OIL
2017-06-14,BAJAJ AVENGER STREET 220,CONSUMABLES
2017-06-14,BAJAJ AVENGER STREET 220,AIR FILTER CHECKUP
2017-06-14,BAJAJ PULSAR 150,WHEEL RUBBER
2017-06-14,BAJAJ PULSAR 150,CONSUMABLES
2017-06-14,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-14,BAJAJ PULSAR 150,POLISH
2017-06-15,BAJAJ DISCOVER 150,AIR FILTER CHECKUP
2017-06-15,BAJAJ DISCOVER 150,BRAKE SHOE
2017-06-15,BAJAJ DISCOVER 150,OIL FILTER
2017-06-15,BAJAJ DISCOVER 150,WHEEL RUBBER
2017-06-14,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-14,BAJAJ PULSAR 220,DISC OIL
2017-06-14,BAJAJ PULSAR 220,AIR FILTER CHECKUP
2017-06-15,BAJAJ PULSAR 150,CONSUMABLES
2017-06-15,BAJAJ PULSAR 150,DISC OIL
2017-06-15,BAJAJ PULSAR 150,POLISH
2017-06-15,BAJAJ PULSAR 150,TANK COVER
2017-06-15,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-15,BAJAJ PULSAR 150,DISC OIL
2017-06-15,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-15,BAJAJ PULSAR 150,WHEEL RUBBER
2017-06-15,BAJAJ PLATINA,POLISH
2017-06-15,BAJAJ PLATINA,CONSUMABLES
2017-06-14,BAJAJ AVENGER STREET 220,AIR FILTER CHECKUP
2017-06-14,BAJAJ AVENGER STREET 220,BRAKE SHOE
2017-06-14,BAJAJ AVENGER STREET 220,TANK COVER
2017-06-14,BAJAJ AVENGER STREET 220,CLUTCH ASSEMBLY
2017-06-14,BAJAJ PULSAR AS 200,CONSUMABLES
2017-06-14,BAJAJ PULSAR AS 200,CHAIN SPROCKET
2017-06-14,BAJAJ PULSAR AS 200,AIR FILTER CHECKUP
2017-06-14,BAJAJ PULSAR AS 200,WHEEL RUBBER
2017-06-14,BAJAJ PULSAR AS 200,CHAIN OVERHAUL
2017-06-15,BAJAJ V150,CONSUMABLES
2017-06-15,BAJAJ V150,POLISH
2017-06-15,BAJAJ CT 100,CHAIN OVERHAUL
2017-06-15,BAJAJ CT 100,CONSUMABLES
2017-06-15,BAJAJ CT 100,POLISH
2017-06-15,BAJAJ AVENGER STREET 220,DISC PAD
2017-06-15,BAJAJ AVENGER STREET 220,BRAKE SHOE
2017-06-15,BAJAJ AVENGER STREET 220,AIR FILTER CHECKUP
2017-06-15,BAJAJ AVENGER STREET 220,DISC OIL
2017-06-16,BAJAJ DISCOVER 150,OIL FILTER
2017-06-16,BAJAJ DISCOVER 150,DISC OIL
2017-06-16,BAJAJ DISCOVER 150,BRAKE SHOE
2017-06-16,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-16,BAJAJ PULSAR 150,DISC OIL
2017-06-16,BAJAJ PULSAR 150,CONSUMABLES
2017-06-16,BAJAJ DISCOVER 150,OIL FILTER
2017-06-16,BAJAJ DISCOVER 150,DISC OIL
2017-06-16,BAJAJ PULSAR 220,AIR FILTER CHECKUP
2017-06-16,BAJAJ PULSAR 220,DISC OIL
2017-06-16,BAJAJ PULSAR 220,CONSUMABLES
2017-06-16,BAJAJ PULSAR 220,DISC PAD
2017-06-16,BAJAJ PULSAR 150,POLISH
2017-06-16,BAJAJ PULSAR 150,CONSUMABLES
2017-06-16,BAJAJ AVENGER STREET,CONSUMABLES
2017-06-16,BAJAJ AVENGER STREET,POLISH
2017-06-16,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-16,BAJAJ PULSAR 150,WHEEL RUBBER
2017-06-16,BAJAJ PULSAR 150,DISC OIL
2017-06-16,BAJAJ PULSAR 150,WHEEL RUBBER
2017-06-16,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-16,BAJAJ PULSAR 150,DISC OIL
2017-06-16,BAJAJ PULSAR 150,BRAKE SHOE
2017-06-16,BAJAJ PULSAR 220,SPARK PLUG
2017-06-16,BAJAJ PULSAR 220,DISC PAD
2017-06-16,BAJAJ PULSAR 220,AIR FILTER CHECKUP
2017-06-16,BAJAJ PULSAR 220,DISC OIL
2017-06-17,BAJAJ PULSAR 220,CONSUMABLES
2017-06-17,BAJAJ PULSAR 220,POLISH
2017-06-17,BAJAJ PULSAR 150,POLISH
2017-06-17,BAJAJ PULSAR 150,CONSUMABLES
2017-06-17,BAJAJ PULSAR 150,DISC OIL
2017-06-17,BAJAJ PULSAR 150,AIR FILTER CHECKUP
2017-06-17,BAJAJ PULSAR 180,POLISH
2017-06-17,BAJAJ PULSAR 180,CONSUMABLES
2017-06-17,BAJAJ PULSAR NS 200,AIR FILTER CHECKUP
2017-06-17,BAJAJ PULSAR NS 200,OIL FILTER
2017-06-17,BAJAJ PULSAR NS 200,POLISH
2017-06-17,BAJAJ PULSAR NS 200,CONSUMABLES
2017-06-18,BAJAJ PULSAR AS 200,CONSUMABLES
2017-06-18,BAJAJ PULSAR AS 200,OIL FILTER
2017-06-18,BAJAJ PULSAR AS 200,POLISH
