invoice_date,vehicle_model,invoice_line
2017-06-02,BAJAJ PULSAR NS 200,COOLANT OIL
2017-06-02,BAJAJ PULSAR NS 200,4 WAY SWITCH
2017-06-03,BAJAJ PULSAR 220,INDICATOR
2017-06-03,BAJAJ PULSAR 220,HEAD REST
2017-06-03,BAJAJ PULSAR 220,VALVE GUIDE
2017-06-03,BAJAJ PULSAR 220,TIMMING CHAIN
2017-06-03,BAJAJ PULSAR 220,FOOT REST
2017-06-03,BAJAJ PULSAR 220,LOW BEAM BULB
2017-06-03,BAJAJ PULSAR 220,VALVE GRAINDING
2017-06-03,BAJAJ PULSAR 220,LOADING GEAR
2017-06-03,BAJAJ PULSAR 220,PACKING KIT
2017-06-03,BAJAJ PULSAR 220,TIMMING CHAIN PAD
2017-06-03,BAJAJ PULSAR 220,TENSIONER
2017-06-03,BAJAJ PULSAR 220,CLUTCH BELL REST
2017-06-03,BAJAJ PULSAR 220,VALVE KIT
2017-06-03,BAJAJ PULSAR 220,ONE WAY CLUTCH
2017-06-03,BAJAJ PULSAR 220,BORE KIT
2017-06-03,BAJAJ PULSAR 220,HEAD RUBBER
2017-06-03,BAJAJ PULSAR 220,CRANK SHAFT
2017-06-05,BAJAJ PULSAR 150,BRAKE ADJUSTMENT
2017-06-05,BAJAJ PULSAR 150,BRAKE ADJUSTMENT
2017-06-05,BAJAJ PULSAR 150,HEAD RUBBER
2017-06-01,BAJAJ PULSAR 150,DRUM BOLT WASHER
2017-06-01,BAJAJ PULSAR 150,TANK CLEANING
2017-06-01,BAJAJ AVENGER STREET 220,FORK BEND
2017-06-02,BAJAJ PULSAR 220,INDICATOR
2017-06-02,BAJAJ PULSAR 220,GEAR SHAFT
2017-06-02,BAJAJ PULSAR 220,INDICATOR BULB
2017-06-02,BAJAJ PULSAR 220,GEAR LEVER
2017-06-01,BAJAJ PULSAR 150,HANDLEBAR
2017-06-01,BAJAJ PULSAR 150,CRASH GUARD
2017-06-01,BAJAJ PULSAR 150,FORK OIL SEAL
2017-06-01,BAJAJ PULSAR 150,FORK BEND
2017-06-01,BAJAJ PULSAR 150,FORK OIL
2017-06-01,BAJAJ PULSAR 150,SIDE SHIELD
2017-06-01,BAJAJ PULSAR 150,VISIOR
2017-06-01,BAJAJ PULSAR 150,FORK CONE SET
