Invoice Date,Job Card Date,Business Partner Name,Vehicle No.,Vehicle Model,Current KM Reading,INVOICE LINE TEXT
2017-05-30,2017-05-30,shivXXXXXXXXXX,KA03MFXXXX,BAJAJ AVENGER STREET 220,50000.0,ENGINE OIL
2017-06-02,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758.0,ENGINE OIL
2017-06-02,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758.0,POLISH
2017-06-02,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758.0,CONSUMABLES
2017-06-02,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758.0,COOLANT OIL
2017-06-02,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758.0,CHAIN LUBRICATION
2017-06-02,2017-05-31,KIRAXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR NS 200,758.0,4 WAY SWITCH
2017-05-31,2017-05-31,pattXXXXXXXXXX,KA53EMXXXX,BAJAJ PLATINA,3717.0,ENGINE OIL
2017-05-31,2017-05-31,pattXXXXXXXXXX,KA53EMXXXX,BAJAJ PLATINA,3717.0,3M OIL
2017-05-31,2017-05-31,pattXXXXXXXXXX,KA53EMXXXX,BAJAJ PLATINA,3717.0,CHAIN LUBRICATION
2017-05-31,2017-05-31,diliXXXXXXXXXX,KA53S3XXXX,BAJAJ V,2800.0,GENERAL SERVICE
2017-05-31,2017-05-31,diliXXXXXXXXXX,KA53S3XXXX,BAJAJ V,2800.0,ENGINE OIL
2017-05-31,2017-05-31,diliXXXXXXXXXX,KA53S3XXXX,BAJAJ V,7854.0,OIL FILTER
2017-05-31,2017-05-31,diliXXXXXXXXXX,KA53S3XXXX,BAJAJ V,7854.0,ENGINE OIL
2017-05-31,2017-05-31,VENKXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5391.0,ENGINE OIL
2017-05-31,2017-05-31,VENKXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5391.0,3M OIL
2017-05-31,2017-05-31,VENKXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5391.0,CHAIN LUBRICATION
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,INDICATOR
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,HEAD REST
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,VALVE GUIDE
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,TIMMING CHAIN
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,FOOT REST
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,LOW BEAM BULB
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,VALVE GRAINDING
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,DISC PAD
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,LOADING GEAR
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,PACKING KIT
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,TIMMING CHAIN PAD
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,TENSIONER
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,CLUTCH BELL REST
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,ENGINE OIL
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,CLUTCH ASSEMBLY
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,VALVE KIT
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,SPARK PLUG
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,ONE WAY CLUTCH
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,BORE KIT
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,AIR FILTER
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,HEAD RUBBER
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,CLUTCH CABLE
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,CRANK SHAFT
2017-06-03,2017-05-31,MAYAXXXXXXXXXX,KA05JGXXXX,BAJAJ PULSAR 220,25000.0,DISC PAD
2017-06-05,2017-06-01,srivXXXXXXXXXX,KA02EWXXXX,BAJAJ PULSAR 150,41458.0,BRAKE ADJUSTMENT
2017-06-05,2017-06-01,srivXXXXXXXXXX,KA02EWXXXX,BAJAJ PULSAR 150,41458.0,GENERAL SERVICE
2017-06-05,2017-06-01,srivXXXXXXXXXX,KA02EWXXXX,BAJAJ PULSAR 150,41458.0,BRAKE ADJUSTMENT
2017-06-05,2017-06-01,srivXXXXXXXXXX,KA02EWXXXX,BAJAJ PULSAR 150,41458.0,HEAD RUBBER
2017-06-01,2017-06-01,ANMOXXXXXXXXXX,KA53EQXXXX,BAJAJ PULSAR 180,8079.0,3M OIL
2017-06-01,2017-06-01,ANMOXXXXXXXXXX,KA53EQXXXX,BAJAJ PULSAR 180,8079.0,CHAIN LUBRICATION
2017-06-01,2017-06-01,ANMOXXXXXXXXXX,KA53EQXXXX,BAJAJ PULSAR 180,8079.0,BRAKE SHOE
2017-06-01,2017-06-01,ANMOXXXXXXXXXX,KA53EQXXXX,BAJAJ PULSAR 180,8079.0,ENGINE OIL
2017-06-01,2017-06-01,ANMOXXXXXXXXXX,KA53EQXXXX,BAJAJ PULSAR 180,8079.0,AIR FILTER CHECKUP
2017-06-01,2017-06-01,PRASXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5500.0,ENGINE OIL
2017-06-01,2017-06-01,PRASXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5500.0,AIR FILTER CHECKUP
2017-06-01,2017-06-01,PRASXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5500.0,CHAIN LUBRICATION
2017-06-01,2017-06-01,PRASXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5500.0,DRUM BOLT WASHER
2017-06-01,2017-06-01,PRASXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5500.0,TANK CLEANING
2017-06-01,2017-06-01,PRASXXXXXXXXXX,KA53ERXXXX,BAJAJ PULSAR 150,5500.0,3M OIL
2017-06-01,2017-06-01,SATHXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR 150,523.0,3M OIL
2017-06-01,2017-06-01,SATHXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR 150,523.0,CHAIN LUBRICATION
2017-06-01,2017-06-01,SATHXXXXXXXXXX,KA53ESXXXX,BAJAJ PULSAR 150,523.0,ENGINE OIL
2017-06-01,2017-06-01,vinoXXXXXXXXXX,KA51EVXXXX,BAJAJ AVENGER STREET 220,2750.0,ENGINE OIL
2017-06-01,2017-06-01,vinoXXXXXXXXXX,KA51EVXXXX,BAJAJ AVENGER STREET 220,2750.0,3M OIL
2017-06-01,2017-06-01,vinoXXXXXXXXXX,KA51EVXXXX,BAJAJ AVENGER STREET 220,2750.0,FORK BEND
2017-06-01,2017-06-01,vinoXXXXXXXXXX,KA51EVXXXX,BAJAJ AVENGER STREET 220,2750.0,CHAIN LUBRICATION
2017-06-01,2017-06-01,diliXXXXXXXXXX,ka 53 XXXX,BAJAJ V,45421.0,GENERAL SERVICE
2017-06-01,2017-06-01,diliXXXXXXXXXX,ka 53 XXXX,BAJAJ V,45421.0,ENGINE OIL
2017-06-01,2017-06-01,madhXXXXXXXXXX,KA03JJXXXX,BAJAJ PULSAR 220,4845.0,ENGINE OIL
2017-06-01,2017-06-01,madhXXXXXXXXXX,KA03JJXXXX,BAJAJ PULSAR 220,4845.0,CHAIN LUBRICATION
2017-06-01,2017-06-01,madhXXXXXXXXXX,KA03JJXXXX,BAJAJ PULSAR 220,4845.0,3M OIL
2017-06-01,2017-06-01,madhXXXXXXXXXX,KA03JJXXXX,BAJAJ PULSAR 220,4845.0,AIR FILTER CHECKUP
2017-06-01,2017-06-01,shivXXXXXXXXXX,KA53V3XXXX,BAJAJ PULSAR 220,25000.0,GENERAL SERVICE
2017-06-01,2017-06-01,diliXXXXXXXXXX,KA53S9XXXX,BAJAJ AVENGER STREET,5214.0,ENGINE OIL
2017-06-02,2017-06-01,pratXXXXXXXXXX,KA44K6XXXX,BAJAJ PULSAR 220,58969.0,INDICATOR
2017-06-02,2017-06-01,pratXXXXXXXXXX,KA44K6XXXX,BAJAJ PULSAR 220,58969.0,GEAR SHAFT
2017-06-02,2017-06-01,pratXXXXXXXXXX,KA44K6XXXX,BAJAJ PULSAR 220,58969.0,CLUTCH COVER GASKET
2017-06-02,2017-06-01,pratXXXXXXXXXX,KA44K6XXXX,BAJAJ PULSAR 220,58969.0,ENGINE OIL
2017-06-02,2017-06-01,pratXXXXXXXXXX,KA44K6XXXX,BAJAJ PULSAR 220,58969.0,INDICATOR BULB
2017-06-02,2017-06-01,pratXXXXXXXXXX,KA44K6XXXX,BAJAJ PULSAR 220,58969.0,GEAR LEVER
2017-06-01,2017-06-01,kesaXXXXXXXXXX,KA03HSXXXX,BAJAJ PULSAR 150,39421.0,HANDLEBAR
2017-06-01,2017-06-01,kesaXXXXXXXXXX,KA03HSXXXX,BAJAJ PULSAR 150,39421.0,CRASH GUARD
2017-06-01,2017-06-01,kesaXXXXXXXXXX,KA03HSXXXX,BAJAJ PULSAR 150,39421.0,FORK OIL SEAL
